DBNs,Funding
10X225,"3,001,810"
14K318,"7,720,906"
10X226,"2,722,452"
01M110,"2,559,804"
05M197,"2,270,648"
05M194,"2,252,445"
05M195,"2,946,889"
10X342,"3,479,707"
10X340,"3,042,324"
10X228,"1,960,064"
10X344,"918,220"
09X303,"1,747,218"
75Q993,0
12X214,"5,403,492"
13K113,"4,709,484"
24Q013,"6,950,677"
23K493,"2,956,438"
15K230,"6,424,382"
11X462,"1,368,822"
84M726,0
75Q009,0
11X068,"4,171,926"
18K279,"3,577,652"
24Q307,"3,276,510"
18K276,"4,649,548"
11X468,"1,459,883"
28Q008,"4,169,212"
18K272,"3,818,396"
28Q099,"3,901,607"
11X019,"3,289,696"
28Q310,"1,912,575"
03M199,"3,794,625"
84M861,0
84K703,0
11X016,"3,147,352"
17K353,"1,120,266"
06M028,"5,126,374"
19K159,"4,461,405"
19K158,"3,584,277"
21K097,"4,492,621"
25Q032,"4,030,069"
21K095,"5,294,741"
17K354,"1,750,116"
84X389,0
11X121,"4,809,682"
21K099,"3,591,521"
21K098,"5,494,141"
27Q323,"4,073,774"
75K396,0
24Q087,"3,690,668"
15K058,"4,008,152"
14K018,"1,202,337"
24Q128,"3,614,925"
08X182,"4,837,821"
16K040,"2,061,971"
75K771,0
09X011,"4,390,181"
03M075,"4,449,518"
15K051,"5,289,289"
23K137,"2,342,795"
24Q049,"4,578,427"
14K380,"2,886,194"
27Q202,"5,371,614"
75R037,0
05M670,"3,097,115"
27Q207,"4,482,217"
84K740,0
01M378,"1,637,260"
17K181,"6,058,808"
04M012,"2,316,473"
04M013,"2,111,152"
14K250,"4,043,477"
28Q167,"1,491,164"
28Q160,"3,911,399"
28Q161,"4,030,696"
14K257,"2,953,839"
12X006,"3,657,419"
12X212,"2,081,981"
11X112,"2,771,709"
32K347,"3,457,796"
06M153,"5,252,742"
01M292,"2,838,073"
75X352,0
07X277,"3,068,224"
16K035,"1,371,683"
25Q219,"3,694,362"
11X287,"1,846,092"
10X279,"5,399,011"
23K041,"3,889,605"
08X302,"4,417,267"
04M825,"2,097,275"
11X289,"2,258,261"
19K089,"2,102,306"
08X072,"5,026,869"
08X071,"9,620,305"
05M036,"3,693,134"
31R013,"3,653,810"
05M030,"3,628,770"
08X075,"3,758,435"
09X088,"1,861,303"
84K517,0
84X482,0
75K077,0
31R019,"3,449,438"
12X190,"1,550,744"
27Q108,"6,016,065"
21K253,"3,813,486"
11X160,"3,778,674"
04M083,"2,129,497"
