DBN,Grade,Year,Number Tested,Mean Scale Score,Num Level 1,Pct Level 1,Num Level 2,Pct Level 2,Num Level 3,Pct Level 3,Num Level 4,Pct Level 4,Num Level 3 and 4,Pct Level 3 and 4,School Type,C.NumberTested,C.Mean Scale Score,C.Num Level 1,C.Pct Level 1,C.Num Level 2,C.Pct Level 2,C.Num Level 3,C.Pct Level 3,C.Num Level 4,C.Pct Level 4,C.Num Level 3 and 4,C.Pct Level 3 and 4,Broough,School Name_x,Program Type,Average Class Size,School Name_y,% Female,% Male,% Asian,% Black,% Hispanic,% Other,% White,AvgOfMajor N,AvgOfNoCrim N,AvgOfVio N,schoolname,eng_p_11,aca_p_11,eng_t_11,aca_t_11,eng_s_11,aca_s_11,Funding
01M015,3,2011.0,28.0,671,10,35.7,13,46.4,5,17.9,0,0,5,17.9,Public,,,,,,,,,,,,,,,,,P.S. 015 Roberto Clemente,44.3%,55.7%,6.4%,36.9%,54.2%,0.5%,2.0%,0.43,1.23,0.41,P.S. 015 Roberto Clemente,7.5,7.8,7.6,7.9,,,1560936.0
01M015,4,2011.0,28.0,668,3,10.7,14,50,9,32.1,2,7.1,11,39.3,Public,,,,,,,,,,,,,,,,,P.S. 015 Roberto Clemente,44.3%,55.7%,6.4%,36.9%,54.2%,0.5%,2.0%,0.43,1.23,0.41,P.S. 015 Roberto Clemente,7.5,7.8,7.6,7.9,,,1560936.0
01M015,5,2011.0,25.0,667,5,20,8,32,12,48,0,0,12,48,Public,,,,,,,,,,,,,,,,,P.S. 015 Roberto Clemente,44.3%,55.7%,6.4%,36.9%,54.2%,0.5%,2.0%,0.43,1.23,0.41,P.S. 015 Roberto Clemente,7.5,7.8,7.6,7.9,,,1560936.0
01M015,All Grades,2011.0,81.0,669,18,22.2,35,43.2,26,32.1,2,2.5,28,34.6,Public,,,,,,,,,,,,,,,,,P.S. 015 Roberto Clemente,44.3%,55.7%,6.4%,36.9%,54.2%,0.5%,2.0%,0.43,1.23,0.41,P.S. 015 Roberto Clemente,7.5,7.8,7.6,7.9,,,1560936.0
01M019,3,2011.0,34.0,679,2,5.9,23,67.6,7,20.6,2,5.9,9,26.5,Public,,,,,,,,,,,,,,,,,P.S. 019 Asher Levy,52.7%,47.3%,14.6%,27.1%,47.3%,1.5%,9.5%,,,,P.S. 019 Asher Levy,7.6,7.8,8.9,9.1,,,1801509.0
01M019,4,2011.0,39.0,681,2,5.1,11,28.2,22,56.4,4,10.3,26,66.7,Public,,,,,,,,,,,,,,,,,P.S. 019 Asher Levy,52.7%,47.3%,14.6%,27.1%,47.3%,1.5%,9.5%,,,,P.S. 019 Asher Levy,7.6,7.8,8.9,9.1,,,1801509.0
01M019,5,2011.0,39.0,688,0,0,12,30.8,19,48.7,8,20.5,27,69.2,Public,,,,,,,,,,,,,,,,,P.S. 019 Asher Levy,52.7%,47.3%,14.6%,27.1%,47.3%,1.5%,9.5%,,,,P.S. 019 Asher Levy,7.6,7.8,8.9,9.1,,,1801509.0
01M019,All Grades,2011.0,112.0,683,4,3.6,46,41.1,48,42.9,14,12.5,62,55.4,Public,,,,,,,,,,,,,,,,,P.S. 019 Asher Levy,52.7%,47.3%,14.6%,27.1%,47.3%,1.5%,9.5%,,,,P.S. 019 Asher Levy,7.6,7.8,8.9,9.1,,,1801509.0
01M020,3,2011.0,81.0,682,7,8.6,29,35.8,39,48.1,6,7.4,45,55.6,Public,,,,,,,,,,,,,,,,,P.S. 020 Anna Silver,46.7%,53.3%,28.2%,8.2%,59.8%,1.1%,2.7%,0.33,1.76,0.59,P.S. 020 Anna Silver,8.3,8.6,6.8,7.5,,,3216429.0
01M020,4,2011.0,95.0,679,7,7.4,36,37.9,36,37.9,16,16.8,52,54.7,Public,,,,,,,,,,,,,,,,,P.S. 020 Anna Silver,46.7%,53.3%,28.2%,8.2%,59.8%,1.1%,2.7%,0.33,1.76,0.59,P.S. 020 Anna Silver,8.3,8.6,6.8,7.5,,,3216429.0
